=== RQC Experiment Log ===
Format: [Timestamp] Benchmark | Run ID | Status | Value
[2025-12-04 21:02:53] rqc_q100_g50_m5.py | Run 28 | SUCCESS | 0.150329999
[2025-12-04 21:02:53] rqc_q100_g50_m5.py | Run 29 | SUCCESS | 0.613757083
[2025-12-04 21:02:54] rqc_q100_g50_m5.py | Run 30 | SUCCESS | 0.610935751
[2025-12-04 21:02:57] rqc_q100_g50_m5.py | Run 31 | SUCCESS | 2.461070667
[2025-12-04 21:02:58] rqc_q100_g50_m5.py | Run 32 | SUCCESS | 0.1867895
[2025-12-04 21:02:58] rqc_q100_g50_m5.py | Run 33 | SUCCESS | 0.151712833
[2025-12-04 21:02:59] rqc_q100_g50_m5.py | Run 34 | SUCCESS | 0.150679458
[2025-12-04 21:02:59] rqc_q100_g50_m5.py | Run 35 | SUCCESS | 0.149981333
[2025-12-04 21:02:59] rqc_q100_g50_m5.py | Run 36 | SUCCESS | 0.150398792
[2025-12-04 21:03:00] rqc_q100_g50_m5.py | Run 37 | SUCCESS | 0.149528
[2025-12-04 21:03:00] rqc_q100_g50_m5.py | Run 38 | SUCCESS | 0.152124792
[2025-12-04 21:03:01] rqc_q100_g50_m5.py | Run 39 | SUCCESS | 0.637653083
[2025-12-04 21:03:02] rqc_q100_g50_m5.py | Run 40 | SUCCESS | 0.615159334
[2025-12-04 21:03:03] rqc_q100_g50_m5.py | Run 41 | SUCCESS | 0.1523985
[2025-12-04 21:03:03] rqc_q100_g50_m5.py | Run 42 | SUCCESS | 0.151014332
[2025-12-04 21:03:04] rqc_q100_g50_m5.py | Run 43 | SUCCESS | 0.151393082
[2025-12-04 21:03:04] rqc_q100_g50_m5.py | Run 44 | SUCCESS | 0.151812542
[2025-12-04 21:03:04] rqc_q100_g50_m5.py | Run 45 | SUCCESS | 0.150759583
[2025-12-04 21:03:05] rqc_q100_g50_m5.py | Run 46 | SUCCESS | 0.613858208
[2025-12-04 21:03:06] rqc_q100_g50_m5.py | Run 47 | SUCCESS | 0.150531792
[2025-12-04 21:03:06] rqc_q100_g50_m5.py | Run 48 | SUCCESS | 0.152587124
[2025-12-04 21:03:07] rqc_q100_g50_m5.py | Run 49 | SUCCESS | 0.186719083
[2025-12-04 21:03:07] rqc_q100_g50_m5.py | Run 50 | SUCCESS | 0.153395541
[2025-12-04 21:03:08] rqc_q100_g50_m10.py | Run 1 | SUCCESS | 0.706329042
[2025-12-04 21:03:09] rqc_q100_g50_m10.py | Run 2 | SUCCESS | 0.178687459
[2025-12-04 21:03:09] rqc_q100_g50_m10.py | Run 3 | SUCCESS | 0.183845208
[2025-12-04 21:03:12] rqc_q100_g50_m10.py | Run 4 | SUCCESS | 2.346669125
[2025-12-04 21:03:13] rqc_q100_g50_m10.py | Run 5 | SUCCESS | 0.535774416
[2025-12-04 21:03:13] rqc_q100_g50_m10.py | Run 6 | SUCCESS | 0.180171124
[2025-12-04 21:03:14] rqc_q100_g50_m10.py | Run 7 | SUCCESS | 0.241795749
[2025-12-04 21:03:14] rqc_q100_g50_m10.py | Run 8 | SUCCESS | 0.179015874
[2025-12-04 21:03:15] rqc_q100_g50_m10.py | Run 9 | SUCCESS | 0.531894249
[2025-12-04 21:03:15] rqc_q100_g50_m10.py | Run 10 | SUCCESS | 0.182968125
[2025-12-04 21:03:16] rqc_q100_g50_m10.py | Run 11 | SUCCESS | 0.183572959
[2025-12-04 21:03:17] rqc_q100_g50_m10.py | Run 12 | SUCCESS | 1.000638333
[2025-12-04 21:03:18] rqc_q100_g50_m10.py | Run 13 | SUCCESS | 0.182315959
[2025-12-04 21:03:18] rqc_q100_g50_m10.py | Run 14 | SUCCESS | 0.182255958
[2025-12-04 21:03:19] rqc_q100_g50_m10.py | Run 15 | SUCCESS | 0.529304916
[2025-12-04 21:03:20] rqc_q100_g50_m10.py | Run 16 | SUCCESS | 0.179702458
[2025-12-04 21:03:20] rqc_q100_g50_m10.py | Run 17 | SUCCESS | 0.531983291
[2025-12-04 21:03:22] rqc_q100_g50_m10.py | Run 18 | SUCCESS | 1.170207125
[2025-12-04 21:03:22] rqc_q100_g50_m10.py | Run 19 | SUCCESS | 0.191654876
[2025-12-04 21:03:23] rqc_q100_g50_m10.py | Run 20 | SUCCESS | 0.182237251
[2025-12-04 21:03:23] rqc_q100_g50_m10.py | Run 21 | SUCCESS | 0.185745417
[2025-12-04 21:03:24] rqc_q100_g50_m10.py | Run 22 | SUCCESS | 0.182449584
[2025-12-04 21:03:24] rqc_q100_g50_m10.py | Run 23 | SUCCESS | 0.180457291
[2025-12-04 21:03:25] rqc_q100_g50_m10.py | Run 24 | SUCCESS | 0.181971375
[2025-12-04 21:03:25] rqc_q100_g50_m10.py | Run 25 | SUCCESS | 0.179570208
[2025-12-04 21:03:26] rqc_q100_g50_m10.py | Run 26 | SUCCESS | 0.182819374
[2025-12-04 21:03:26] rqc_q100_g50_m10.py | Run 27 | SUCCESS | 0.179164917
[2025-12-04 21:03:27] rqc_q100_g50_m10.py | Run 28 | SUCCESS | 0.569116416
[2025-12-04 21:03:29] rqc_q100_g50_m10.py | Run 29 | SUCCESS | 1.317158084
[2025-12-04 21:03:29] rqc_q100_g50_m10.py | Run 30 | SUCCESS | 0.181944833
[2025-12-04 21:03:30] rqc_q100_g50_m10.py | Run 31 | SUCCESS | 1.033924
[2025-12-04 21:03:31] rqc_q100_g50_m10.py | Run 32 | SUCCESS | 0.183156875
[2025-12-04 21:03:33] rqc_q100_g50_m10.py | Run 33 | SUCCESS | 2.021362834
[2025-12-04 21:03:34] rqc_q100_g50_m10.py | Run 34 | SUCCESS | 0.182061207
[2025-12-04 21:03:35] rqc_q100_g50_m10.py | Run 35 | SUCCESS | 0.561212416
[2025-12-04 21:03:36] rqc_q100_g50_m10.py | Run 36 | SUCCESS | 0.558033833
[2025-12-04 21:03:36] rqc_q100_g50_m10.py | Run 37 | SUCCESS | 0.181380041
[2025-12-04 21:03:37] rqc_q100_g50_m10.py | Run 38 | SUCCESS | 0.181105625
[2025-12-04 21:03:37] rqc_q100_g50_m10.py | Run 39 | SUCCESS | 0.179906291
[2025-12-04 21:03:38] rqc_q100_g50_m10.py | Run 40 | SUCCESS | 0.698815625
[2025-12-04 21:03:39] rqc_q100_g50_m10.py | Run 41 | SUCCESS | 0.184011583
[2025-12-04 21:03:39] rqc_q100_g50_m10.py | Run 42 | SUCCESS | 0.181421
[2025-12-04 21:03:40] rqc_q100_g50_m10.py | Run 43 | SUCCESS | 0.178922875
[2025-12-04 21:03:41] rqc_q100_g50_m10.py | Run 44 | SUCCESS | 0.702228167
[2025-12-04 21:03:41] rqc_q100_g50_m10.py | Run 45 | SUCCESS | 0.183150208
[2025-12-04 21:03:42] rqc_q100_g50_m10.py | Run 46 | SUCCESS | 0.179412376
[2025-12-04 21:03:42] rqc_q100_g50_m10.py | Run 47 | SUCCESS | 0.183494
[2025-12-04 21:03:43] rqc_q100_g50_m10.py | Run 48 | SUCCESS | 1.179386708
[2025-12-04 21:03:44] rqc_q100_g50_m10.py | Run 49 | SUCCESS | 0.181223542
[2025-12-04 21:03:44] rqc_q100_g50_m10.py | Run 50 | SUCCESS | 0.181709042
[2025-12-04 21:03:45] rqc_q100_g50_m20.py | Run 1 | SUCCESS | 0.649258292
[2025-12-04 21:03:46] rqc_q100_g50_m20.py | Run 2 | SUCCESS | 0.649607125
[2025-12-04 21:03:49] rqc_q100_g50_m20.py | Run 3 | SUCCESS | 2.552923208
[2025-12-04 21:03:51] rqc_q100_g50_m20.py | Run 4 | SUCCESS | 1.421069583
[2025-12-04 21:03:53] rqc_q100_g50_m20.py | Run 5 | SUCCESS | 1.305997751
[2025-12-04 21:03:54] rqc_q100_g50_m20.py | Run 6 | SUCCESS | 0.6852855
[2025-12-04 21:03:55] rqc_q100_g50_m20.py | Run 7 | SUCCESS | 0.652696501
[2025-12-04 21:03:56] rqc_q100_g50_m20.py | Run 8 | SUCCESS | 1.410626167
[2025-12-04 21:03:57] rqc_q100_g50_m20.py | Run 9 | SUCCESS | 0.640175833
[2025-12-04 21:03:59] rqc_q100_g50_m20.py | Run 10 | SUCCESS | 1.872197708
[2025-12-04 21:04:00] rqc_q100_g50_m20.py | Run 11 | SUCCESS | 0.652025416
[2025-12-04 21:04:01] rqc_q100_g50_m20.py | Run 12 | SUCCESS | 0.652074875
[2025-12-04 21:04:02] rqc_q100_g50_m20.py | Run 13 | SUCCESS | 0.705731292
[2025-12-04 21:04:04] rqc_q100_g50_m20.py | Run 14 | SUCCESS | 1.447916583
[2025-12-04 21:04:05] rqc_q100_g50_m20.py | Run 15 | SUCCESS | 0.649567791
[2025-12-04 21:04:07] rqc_q100_g50_m20.py | Run 16 | SUCCESS | 1.439047042
[2025-12-04 21:04:08] rqc_q100_g50_m20.py | Run 17 | SUCCESS | 0.644669292
[2025-12-04 21:04:10] rqc_q100_g50_m20.py | Run 18 | SUCCESS | 2.097977875
[2025-12-04 21:04:13] rqc_q100_g50_m20.py | Run 19 | SUCCESS | 2.837847667
[2025-12-04 21:04:14] rqc_q100_g50_m20.py | Run 20 | SUCCESS | 0.6565505
[2025-12-04 21:04:16] rqc_q100_g50_m20.py | Run 21 | SUCCESS | 1.406768917
[2025-12-04 21:04:19] rqc_q100_g50_m20.py | Run 22 | SUCCESS | 2.694004125
[2025-12-04 21:04:20] rqc_q100_g50_m20.py | Run 23 | SUCCESS | 0.667851459
[2025-12-04 21:04:21] rqc_q100_g50_m20.py | Run 24 | SUCCESS | 0.646762374
[2025-12-04 21:04:22] rqc_q100_g50_m20.py | Run 25 | SUCCESS | 0.647581709
[2025-12-04 21:04:23] rqc_q100_g50_m20.py | Run 26 | SUCCESS | 0.659640209
[2025-12-04 21:04:24] rqc_q100_g50_m20.py | Run 27 | SUCCESS | 1.415223041
[2025-12-04 21:04:25] rqc_q100_g50_m20.py | Run 28 | SUCCESS | 0.648353666
[2025-12-04 21:04:26] rqc_q100_g50_m20.py | Run 29 | SUCCESS | 0.646174
[2025-12-04 21:04:27] rqc_q100_g50_m20.py | Run 30 | SUCCESS | 0.6614465
[2025-12-04 21:04:29] rqc_q100_g50_m20.py | Run 31 | SUCCESS | 1.658213874
[2025-12-04 21:04:30] rqc_q100_g50_m20.py | Run 32 | SUCCESS | 0.65477475
[2025-12-04 21:04:32] rqc_q100_g50_m20.py | Run 33 | SUCCESS | 1.1152105
[2025-12-04 21:04:33] rqc_q100_g50_m20.py | Run 34 | SUCCESS | 0.675770083
[2025-12-04 21:04:34] rqc_q100_g50_m20.py | Run 35 | SUCCESS | 0.722952041
[2025-12-04 21:04:35] rqc_q100_g50_m20.py | Run 36 | SUCCESS | 0.651535834
[2025-12-04 21:04:36] rqc_q100_g50_m20.py | Run 37 | SUCCESS | 1.417184792
[2025-12-04 21:04:38] rqc_q100_g50_m20.py | Run 38 | SUCCESS | 1.444581208
[2025-12-04 21:04:40] rqc_q100_g50_m20.py | Run 39 | SUCCESS | 1.446152709
[2025-12-04 21:04:42] rqc_q100_g50_m20.py | Run 40 | SUCCESS | 1.671193042
[2025-12-04 21:04:43] rqc_q100_g50_m20.py | Run 41 | SUCCESS | 0.647161708
[2025-12-04 21:04:44] rqc_q100_g50_m20.py | Run 42 | SUCCESS | 0.648769876
[2025-12-04 21:04:46] rqc_q100_g50_m20.py | Run 43 | SUCCESS | 1.946574292
[2025-12-04 21:04:47] rqc_q100_g50_m20.py | Run 44 | SUCCESS | 0.651396708
[2025-12-04 21:04:48] rqc_q100_g50_m20.py | Run 45 | SUCCESS | 0.652105166
[2025-12-04 21:04:49] rqc_q100_g50_m20.py | Run 46 | SUCCESS | 0.642230625
[2025-12-04 21:04:50] rqc_q100_g50_m20.py | Run 47 | SUCCESS | 0.73890075
[2025-12-04 21:04:51] rqc_q100_g50_m20.py | Run 48 | SUCCESS | 0.641979125
[2025-12-04 21:04:52] rqc_q100_g50_m20.py | Run 49 | SUCCESS | 0.652755833
[2025-12-04 21:04:54] rqc_q100_g50_m20.py | Run 50 | SUCCESS | 1.442304417
[2025-12-04 21:05:00] rqc_q100_g100_m5.py | Run 1 | SUCCESS | 5.776957834
[2025-12-04 21:05:05] rqc_q100_g100_m5.py | Run 2 | SUCCESS | 5.173039625
[2025-12-04 21:05:11] rqc_q100_g100_m5.py | Run 3 | SUCCESS | 5.8873415
[2025-12-04 21:05:12] rqc_q100_g100_m5.py | Run 4 | SUCCESS | 0.871825208
[2025-12-04 21:05:16] rqc_q100_g100_m5.py | Run 5 | SUCCESS | 3.292216917
[2025-12-04 21:05:20] rqc_q100_g100_m5.py | Run 6 | SUCCESS | 3.522288042
[2025-12-04 21:05:24] rqc_q100_g100_m5.py | Run 7 | SUCCESS | 3.569281041
[2025-12-04 21:05:25] rqc_q100_g100_m5.py | Run 8 | SUCCESS | 0.871418292
[2025-12-04 21:05:36] rqc_q100_g100_m5.py | Run 9 | SUCCESS | 10.630973458
[2025-12-04 21:05:42] rqc_q100_g100_m5.py | Run 10 | SUCCESS | 5.432524833
[2025-12-04 21:05:43] rqc_q100_g100_m5.py | Run 11 | SUCCESS | 0.877352708
[2025-12-04 21:05:48] rqc_q100_g100_m5.py | Run 12 | SUCCESS | 5.162222749
[2025-12-04 21:05:49] rqc_q100_g100_m5.py | Run 13 | SUCCESS | 0.881135583
[2025-12-04 21:05:51] rqc_q100_g100_m5.py | Run 14 | SUCCESS | 0.874835333
[2025-12-04 21:05:57] rqc_q100_g100_m5.py | Run 15 | SUCCESS | 5.569963042
[2025-12-04 21:05:58] rqc_q100_g100_m5.py | Run 16 | SUCCESS | 0.864145209
[2025-12-04 21:05:59] rqc_q100_g100_m5.py | Run 17 | SUCCESS | 0.898596792
[2025-12-04 21:06:03] rqc_q100_g100_m5.py | Run 18 | SUCCESS | 3.41645675
[2025-12-04 21:06:09] rqc_q100_g100_m5.py | Run 19 | SUCCESS | 5.624018666
[2025-12-04 21:06:10] rqc_q100_g100_m5.py | Run 20 | SUCCESS | 0.944926458
[2025-12-04 21:06:11] rqc_q100_g100_m5.py | Run 21 | SUCCESS | 0.8907145
[2025-12-04 21:06:12] rqc_q100_g100_m5.py | Run 22 | SUCCESS | 0.8458925
[2025-12-04 21:06:13] rqc_q100_g100_m5.py | Run 23 | SUCCESS | 0.900168708
[2025-12-04 21:06:17] rqc_q100_g100_m5.py | Run 24 | SUCCESS | 3.302046584
[2025-12-04 21:06:23] rqc_q100_g100_m5.py | Run 25 | SUCCESS | 5.376905001
[2025-12-04 21:06:24] rqc_q100_g100_m5.py | Run 26 | SUCCESS | 0.89599075
[2025-12-04 21:06:30] rqc_q100_g100_m5.py | Run 27 | SUCCESS | 5.731706084
[2025-12-04 21:06:37] rqc_q100_g100_m5.py | Run 28 | SUCCESS | 6.809546458
[2025-12-04 21:06:38] rqc_q100_g100_m5.py | Run 29 | SUCCESS | 0.875426834
[2025-12-04 21:06:44] rqc_q100_g100_m5.py | Run 30 | SUCCESS | 5.690353958
[2025-12-04 21:06:51] rqc_q100_g100_m5.py | Run 31 | SUCCESS | 6.555290542
[2025-12-04 21:06:52] rqc_q100_g100_m5.py | Run 32 | SUCCESS | 0.88210675
[2025-12-04 21:06:56] rqc_q100_g100_m5.py | Run 33 | SUCCESS | 3.453023208
[2025-12-04 21:06:57] rqc_q100_g100_m5.py | Run 34 | SUCCESS | 0.847377293
[2025-12-04 21:07:01] rqc_q100_g100_m5.py | Run 35 | SUCCESS | 3.396321875
[2025-12-04 21:07:04] rqc_q100_g100_m5.py | Run 36 | SUCCESS | 3.296529125
[2025-12-04 21:07:06] rqc_q100_g100_m5.py | Run 37 | SUCCESS | 0.864489
[2025-12-04 21:07:07] rqc_q100_g100_m5.py | Run 38 | SUCCESS | 0.9010585
[2025-12-04 21:07:10] rqc_q100_g100_m5.py | Run 39 | SUCCESS | 3.35557925
[2025-12-04 21:07:12] rqc_q100_g100_m5.py | Run 40 | SUCCESS | 0.871296542
[2025-12-04 21:07:18] rqc_q100_g100_m5.py | Run 41 | SUCCESS | 6.554706375
[2025-12-04 21:07:24] rqc_q100_g100_m5.py | Run 42 | SUCCESS | 5.247970375
[2025-12-04 21:07:25] rqc_q100_g100_m5.py | Run 43 | SUCCESS | 0.881422793
[2025-12-04 21:07:26] rqc_q100_g100_m5.py | Run 44 | SUCCESS | 0.865957208
[2025-12-04 21:07:30] rqc_q100_g100_m5.py | Run 45 | SUCCESS | 3.39232225
[2025-12-04 21:07:31] rqc_q100_g100_m5.py | Run 46 | SUCCESS | 0.895892083
[2025-12-04 21:07:37] rqc_q100_g100_m5.py | Run 47 | SUCCESS | 5.75172925
[2025-12-04 21:07:39] rqc_q100_g100_m5.py | Run 48 | SUCCESS | 0.900948917
[2025-12-04 21:07:45] rqc_q100_g100_m5.py | Run 49 | SUCCESS | 5.7142975
[2025-12-04 21:07:48] rqc_q100_g100_m5.py | Run 50 | SUCCESS | 3.363979708
[2025-12-04 21:07:50] rqc_q100_g100_m10.py | Run 1 | SUCCESS | 1.559629042
[2025-12-04 21:07:51] rqc_q100_g100_m10.py | Run 2 | SUCCESS | 0.585084416
[2025-12-04 21:07:52] rqc_q100_g100_m10.py | Run 3 | SUCCESS | 0.575729751
[2025-12-04 21:07:54] rqc_q100_g100_m10.py | Run 4 | SUCCESS | 1.426933918
[2025-12-04 21:07:56] rqc_q100_g100_m10.py | Run 5 | SUCCESS | 1.996317291
[2025-12-04 21:07:57] rqc_q100_g100_m10.py | Run 6 | SUCCESS | 0.555818249
[2025-12-04 21:07:59] rqc_q100_g100_m10.py | Run 7 | SUCCESS | 2.013777541
[2025-12-04 21:08:00] rqc_q100_g100_m10.py | Run 8 | SUCCESS | 0.552188334
[2025-12-04 21:08:01] rqc_q100_g100_m10.py | Run 9 | SUCCESS | 0.577660791
[2025-12-04 21:08:03] rqc_q100_g100_m10.py | Run 10 | SUCCESS | 2.114711583
[2025-12-04 21:08:04] rqc_q100_g100_m10.py | Run 11 | SUCCESS | 0.555034458
[2025-12-04 21:08:05] rqc_q100_g100_m10.py | Run 12 | SUCCESS | 0.5537555
[2025-12-04 21:08:06] rqc_q100_g100_m10.py | Run 13 | SUCCESS | 0.564176958
[2025-12-04 21:08:08] rqc_q100_g100_m10.py | Run 14 | SUCCESS | 1.574301209
[2025-12-04 21:08:09] rqc_q100_g100_m10.py | Run 15 | SUCCESS | 1.415876583
[2025-12-04 21:08:10] rqc_q100_g100_m10.py | Run 16 | SUCCESS | 0.554924417
[2025-12-04 21:08:12] rqc_q100_g100_m10.py | Run 17 | SUCCESS | 1.426619709
[2025-12-04 21:08:14] rqc_q100_g100_m10.py | Run 18 | SUCCESS | 2.044753583
[2025-12-04 21:08:15] rqc_q100_g100_m10.py | Run 19 | SUCCESS | 0.553160959
[2025-12-04 21:08:17] rqc_q100_g100_m10.py | Run 20 | SUCCESS | 1.906444333
[2025-12-04 21:08:19] rqc_q100_g100_m10.py | Run 21 | SUCCESS | 1.533022417
[2025-12-04 21:08:20] rqc_q100_g100_m10.py | Run 22 | SUCCESS | 0.557334042
[2025-12-04 21:08:22] rqc_q100_g100_m10.py | Run 23 | SUCCESS | 2.006568874
[2025-12-04 21:08:25] rqc_q100_g100_m10.py | Run 24 | SUCCESS | 2.189018874
[2025-12-04 21:08:27] rqc_q100_g100_m10.py | Run 25 | SUCCESS | 1.958186083
[2025-12-04 21:08:28] rqc_q100_g100_m10.py | Run 26 | SUCCESS | 0.549271625
[2025-12-04 21:08:31] rqc_q100_g100_m10.py | Run 27 | SUCCESS | 2.210694376
[2025-12-04 21:08:31] rqc_q100_g100_m10.py | Run 28 | SUCCESS | 0.592034249
[2025-12-04 21:08:32] rqc_q100_g100_m10.py | Run 29 | SUCCESS | 0.574907958
[2025-12-04 21:08:33] rqc_q100_g100_m10.py | Run 30 | SUCCESS | 0.569429376
[2025-12-04 21:08:36] rqc_q100_g100_m10.py | Run 31 | SUCCESS | 2.281627709
[2025-12-04 21:08:37] rqc_q100_g100_m10.py | Run 32 | SUCCESS | 0.577485167
[2025-12-04 21:08:39] rqc_q100_g100_m10.py | Run 33 | SUCCESS | 1.858396417
[2025-12-04 21:08:41] rqc_q100_g100_m10.py | Run 34 | SUCCESS | 1.735914042
[2025-12-04 21:08:44] rqc_q100_g100_m10.py | Run 35 | SUCCESS | 2.296729875
[2025-12-04 21:08:45] rqc_q100_g100_m10.py | Run 36 | SUCCESS | 0.639394458
[2025-12-04 21:08:45] rqc_q100_g100_m10.py | Run 37 | SUCCESS | 0.567822416
[2025-12-04 21:08:47] rqc_q100_g100_m10.py | Run 38 | SUCCESS | 1.441919042
[2025-12-04 21:08:48] rqc_q100_g100_m10.py | Run 39 | SUCCESS | 0.570434042
[2025-12-04 21:08:51] rqc_q100_g100_m10.py | Run 40 | SUCCESS | 2.283344666
[2025-12-04 21:08:52] rqc_q100_g100_m10.py | Run 41 | SUCCESS | 0.574812416
[2025-12-04 21:08:52] rqc_q100_g100_m10.py | Run 42 | SUCCESS | 0.576677458
[2025-12-04 21:08:53] rqc_q100_g100_m10.py | Run 43 | SUCCESS | 0.584921459
[2025-12-04 21:08:56] rqc_q100_g100_m10.py | Run 44 | SUCCESS | 2.033178084
[2025-12-04 21:08:57] rqc_q100_g100_m10.py | Run 45 | SUCCESS | 0.576497791
[2025-12-04 21:08:59] rqc_q100_g100_m10.py | Run 46 | SUCCESS | 2.36923925
[2025-12-04 21:09:01] rqc_q100_g100_m10.py | Run 47 | SUCCESS | 1.461509667
[2025-12-04 21:09:02] rqc_q100_g100_m10.py | Run 48 | SUCCESS | 0.550209292
[2025-12-04 21:09:04] rqc_q100_g100_m10.py | Run 49 | SUCCESS | 1.397798083
[2025-12-04 21:09:04] rqc_q100_g100_m10.py | Run 50 | SUCCESS | 0.554160833
[2025-12-04 21:09:06] rqc_q100_g100_m20.py | Run 1 | SUCCESS | 1.226084791
[2025-12-04 21:09:07] rqc_q100_g100_m20.py | Run 2 | SUCCESS | 1.04973175
[2025-12-04 21:09:08] rqc_q100_g100_m20.py | Run 3 | SUCCESS | 0.310669458
[2025-12-04 21:09:09] rqc_q100_g100_m20.py | Run 4 | SUCCESS | 1.130738167
[2025-12-04 21:09:11] rqc_q100_g100_m20.py | Run 5 | SUCCESS | 1.127198458
[2025-12-04 21:09:13] rqc_q100_g100_m20.py | Run 6 | SUCCESS | 1.930540375
[2025-12-04 21:09:14] rqc_q100_g100_m20.py | Run 7 | SUCCESS | 0.318906333
[2025-12-04 21:09:15] rqc_q100_g100_m20.py | Run 8 | SUCCESS | 1.139103083
[2025-12-04 21:09:16] rqc_q100_g100_m20.py | Run 9 | SUCCESS | 0.312462542
[2025-12-04 21:09:18] rqc_q100_g100_m20.py | Run 10 | SUCCESS | 1.924224459
[2025-12-04 21:09:21] rqc_q100_g100_m20.py | Run 11 | SUCCESS | 3.020042834
[2025-12-04 21:09:22] rqc_q100_g100_m20.py | Run 12 | SUCCESS | 0.362991125
[2025-12-04 21:09:23] rqc_q100_g100_m20.py | Run 13 | SUCCESS | 1.126193374
[2025-12-04 21:09:24] rqc_q100_g100_m20.py | Run 14 | SUCCESS | 0.314146833
[2025-12-04 21:09:25] rqc_q100_g100_m20.py | Run 15 | SUCCESS | 0.320098001
[2025-12-04 21:09:25] rqc_q100_g100_m20.py | Run 16 | SUCCESS | 0.306796584
[2025-12-04 21:09:27] rqc_q100_g100_m20.py | Run 17 | SUCCESS | 1.137131959
[2025-12-04 21:09:27] rqc_q100_g100_m20.py | Run 18 | SUCCESS | 0.315004
[2025-12-04 21:09:30] rqc_q100_g100_m20.py | Run 19 | SUCCESS | 2.065207791
[2025-12-04 21:09:30] rqc_q100_g100_m20.py | Run 20 | SUCCESS | 0.351411541
[2025-12-04 21:09:32] rqc_q100_g100_m20.py | Run 21 | SUCCESS | 1.14226
[2025-12-04 21:09:33] rqc_q100_g100_m20.py | Run 22 | SUCCESS | 0.971801582
[2025-12-04 21:09:34] rqc_q100_g100_m20.py | Run 23 | SUCCESS | 0.303005708
[2025-12-04 21:09:35] rqc_q100_g100_m20.py | Run 24 | SUCCESS | 1.1672055
[2025-12-04 21:09:37] rqc_q100_g100_m20.py | Run 25 | SUCCESS | 1.889201917
[2025-12-04 21:09:38] rqc_q100_g100_m20.py | Run 26 | SUCCESS | 0.328576292
[2025-12-04 21:09:39] rqc_q100_g100_m20.py | Run 27 | SUCCESS | 0.313601959
[2025-12-04 21:09:40] rqc_q100_g100_m20.py | Run 28 | SUCCESS | 1.164087916
[2025-12-04 21:09:43] rqc_q100_g100_m20.py | Run 29 | SUCCESS | 2.61837625
[2025-12-04 21:09:45] rqc_q100_g100_m20.py | Run 30 | SUCCESS | 1.141502959
[2025-12-04 21:09:48] rqc_q100_g100_m20.py | Run 31 | SUCCESS | 3.215944624
[2025-12-04 21:09:49] rqc_q100_g100_m20.py | Run 32 | SUCCESS | 0.906112041
[2025-12-04 21:09:52] rqc_q100_g100_m20.py | Run 33 | SUCCESS | 2.202507166
[2025-12-04 21:09:52] rqc_q100_g100_m20.py | Run 34 | SUCCESS | 0.316249959
